pl_name,hostname,pl_masse,pl_rade,pl_orbper,pl_eqt,st_teff,discoverymethod,disc_year
Kepler-879 b,Kepler-879,,2.57,33.3855938,,5792.0,Transit,2016.0
Kepler-1463 b,Kepler-1463,,1.86,25.15864,,5679.0,Transit,2016.0
Kepler-778 b,Kepler-778,,1.68,3.75574426,,5102.0,Transit,2016.0
HD 75289 b,HD 75289,,,3.50927,,6117.0,Radial Velocity,1999.0
Kepler-357 c,Kepler-357,,2.67,16.85837,,5036.0,Transit,2014.0
EPIC 212424622 b,EPIC 212424622,,2.17,18.0983,,,Transit,2019.0
Kepler-341 c,Kepler-341,,1.7,8.01041,,6012.0,Transit,2014.0
BD-13 2130 b,BD-13 2130,,,714.29999,,4545.0,Radial Velocity,2007.0
eps CrB b,eps CrB,,,417.9,,4406.0,Radial Velocity,2012.0
Kepler-1342 b,Kepler-1342,,1.66,2.215710358,,5527.0,Transit,2016.0
Kepler-52 d,Kepler-52,,1.95,36.445171,,4263.0,Transit,2014.0
Kepler-321 c,Kepler-321,,2.32,13.093921,,5740.0,Transit,2014.0
Kepler-780 b,Kepler-780,,0.89,0.677375164,,5769.0,Transit,2016.0
HIP 41378 b,HIP 41378,6.89,2.595,15.57208,959.0,6320.0,Transit,2016.0
Kepler-816 b,Kepler-816,,10.24,10.506825646,,5286.0,Transit,2016.0
GJ 328 b,GJ 328,,,3771.0,,3897.0,Radial Velocity,2013.0
GJ 667 C f,GJ 667 C,,,39.026,,3350.0,Radial Velocity,2013.0
Kepler-910 b,Kepler-910,,0.82,2.364369015,,6230.0,Transit,2016.0
K2-391 b,K2-391,,1.371,4.622654,,5543.0,Transit,2022.0
Kepler-198 d,Kepler-198,,1.53,1.31184443,,5636.0,Transit,2016.0
G 192-15 b,G 192-15,,,2.27476,453.6,,Radial Velocity,2025.0
K2-368 d,K2-368,,1.948,20.201085,,4663.0,Transit,2022.0
CoRoT-23 b,CoRoT-23,889.9,11.77,3.6313,1660.0,5900.0,Transit,2011.0
Kepler-327 d,Kepler-327,,1.73,13.969457,,3799.0,Transit,2014.0
Kepler-733 b,Kepler-733,,2.82,20.83424726,,5418.0,Transit,2016.0
Kepler-769 b,Kepler-769,,2.92,7.42608998,,6186.0,Transit,2016.0
Kepler-913 b,Kepler-913,,2.06,10.29672521,,4687.0,Transit,2016.0
HD 62549 b,HD 62549,2707.58019923,,14306.88519,,,Radial Velocity,2022.0
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,3.3,,,,,Microlensing,2008.0
K2-104 b,K2-104,,1.79,1.9741954,798.0,3712.0,Transit,2016.0
Kepler-1092 b,Kepler-1092,,2.07,58.6017925,,5862.0,Transit,2016.0
Kepler-33 f,Kepler-33,,4.46,41.02902,,5904.0,Transit,2011.0
Kepler-1263 b,Kepler-1263,,1.14,4.55139967,,5213.0,Transit,2016.0
iot Dra c,iot Dra,,,25000.0,,4504.0,Radial Velocity,2022.0
Kepler-1497 b,Kepler-1497,,1.66,8.74199772,,5675.0,Transit,2016.0
Kepler-391 b,Kepler-391,1100.0,2.5,7.4175,930.0,5038.0,Transit,2014.0
Kepler-338 b,Kepler-338,,2.44,13.726976,,5923.0,Transit,2014.0
Kepler-520 c,Kepler-520,,1.07,5.21104261,,6112.0,Transit,2016.0
Kepler-446 c,Kepler-446,,1.11,3.036179,,3359.0,Transit,2015.0
HD 184010 c,HD 184010,,,484.3,,4971.0,Radial Velocity,2022.0
HD 45364 b,HD 45364,,,225.79,,5466.0,Radial Velocity,2008.0
GJ 163 d,GJ 163,,,603.95116,,,Radial Velocity,2013.0
Kepler-347 c,Kepler-347,,1.75,27.320871,,6088.0,Transit,2014.0
HD 81817 b,HD 81817,7668.5638041,,1021.20159,,,Radial Velocity,2020.0
CoRoT-28 b,CoRoT-28,153.82972,10.704595,5.20851,,5150.0,Transit,2015.0
Kepler-1050 c,Kepler-1050,,1.48,21.1284569,,6010.0,Transit,2016.0
Kepler-1078 b,Kepler-1078,,1.9,3.00725242,,5612.0,Transit,2016.0
GJ 896 A b,GJ 896 A,718.29219982,,284.39,,,Astrometry,2022.0
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,57.0,,,,,Microlensing,2014.0
Kepler-1740 b,Kepler-1740,,3.32321414,8.172400475,,5705.0,Transit,2021.0
HD 180053 b,HD 180053,,,213.72,,5131.0,Radial Velocity,2018.0
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,588.0,,,,,Microlensing,2013.0
KOI-3503 c,KOI-3503,10.36,1.21,31.828,686.0,6001.0,Transit,2021.0
HD 47536 b,HD 47536,,,712.13,,4380.0,Radial Velocity,2002.0
KOI-984 c,KOI-984,209.8,,21.512,597.0,5295.0,Transit Timing Variations,2022.0
Kepler-464 b,Kepler-464,,3.3,7.256965224,,5933.0,Transit,2016.0
Kepler-342 e,Kepler-342,,0.88,1.644224613,,6366.0,Transit,2016.0
Kepler-520 b,Kepler-520,,1.66,19.67416124,,6112.0,Transit,2016.0
Kepler-374 d,Kepler-374,,1.31,5.028219,,5977.0,Transit,2014.0
Kepler-1292 b,Kepler-1292,,1.82,3.27646405,,5556.0,Transit,2016.0
GJ 3138 c,GJ 3138,,,5.974,,3717.0,Radial Velocity,2017.0
KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,163.04597279,,,,,Microlensing,2024.0
Kepler-223 d,Kepler-223,8.0,5.24,14.78869,,,Transit,2014.0
Kepler-1366 b,Kepler-1366,,1.43,2.164570968,,4070.0,Transit,2016.0
HIP 948 b,HIP 948,6547.2651842,,24955.45756,,,Radial Velocity,2022.0
NGTS-34 b,NGTS-34,19.1,3.65,43.12655,624.0,6134.0,Transit,2025.0
KMT-2024-BLG-1005L b,KMT-2024-BLG-1005L,6674.396547,,,,,Microlensing,2025.0
HIP 54515 b,HIP 54515,5625.5628039,,33000.0,,8100.0,Imaging,2026.0
NN Ser c,NN Ser,,,6987.0,,,Eclipse Timing Variations,2010.0
Kepler-17 b,Kepler-17,778.65,14.68,1.4857108,1570.0,5781.0,Transit,2011.0
KELT-1 b,KELT-1,8654.15,12.442,1.217514,,6516.0,Transit,2012.0
HAT-P-38 b,HAT-P-38,84.857,9.247,4.640382,1082.0,5330.0,Transit,2012.0
Kepler-1241 b,Kepler-1241,,2.63,18.5525701,,5261.0,Transit,2016.0
Kepler-694 b,Kepler-694,,2.8,6.365841612,,5700.0,Transit,2016.0
GJ 2126 b,GJ 2126,,,272.7,,4159.0,Radial Velocity,2025.0
HS Psc b,HS Psc,,,3.986,,4203.0,Radial Velocity,2024.0
HD 134606 f,HD 134606,,,26.915,,5576.0,Radial Velocity,2024.0
Kepler-1228 b,Kepler-1228,,1.54,0.577369579,,5063.0,Transit,2016.0
Kepler-1859 c,Kepler-1859,,1.66,3.59645081,1327.0,5887.0,Transit,2023.0
TOI-2285 b,TOI-2285,,1.77,13.635109,358.0,3491.0,Transit,2021.0
TOI-4184 b,TOI-4184,,2.43,4.9019804,412.0,3238.0,Transit,2023.0
TOI-7041 b,TOI-7041,114.41822652,11.43316031,9.691,,4700.0,Transit,2025.0
HD 202772 A b,HD 202772 A,323.23311,17.317905,3.308958,2132.0,6272.0,Transit,2019.0
HAT-P-32 b,HAT-P-32,216.1244,22.19382,2.1500082,1835.7,6001.0,Transit,2011.0
WASP-33 b,WASP-33,665.21819,17.855937,1.21987,2781.7,7430.0,Transit,2010.0
Kepler-6 b,Kepler-6,212.31044,14.616536,3.2346996,1460.0,5647.0,Transit,2009.0
Kepler-100 d,Kepler-100,3.0,1.61,35.3331,,5825.0,Transit,2014.0
WASP-39 b,WASP-39,89.31023,14.336311,4.0552941,1166.0,5485.0,Transit,2011.0
TOI-1669 b,TOI-1669,,,500.0,,5497.0,Radial Velocity,2023.0
WASP-139 b,WASP-139,37.18611,8.9672,5.924262,910.0,5310.0,Transit,2016.0
TOI-1246 e,TOI-1246,14.5,3.5141875,37.92548,463.98,5213.0,Transit,2022.0
TOI-6894 b,TOI-6894,53.39517238,9.5836785,3.37077196,417.9,3007.0,Transit,2025.0
TOI-700 e,TOI-700,,0.953,27.80978,,3459.0,Transit,2023.0
K2-3 b,K2-3,5.11,2.078,10.0546535,501.3,3844.0,Transit,2015.0
K2-133 b,K2-133,,1.34,3.07133,,3655.0,Transit,2017.0
WASP-36 b,WASP-36,750.39663,14.874343,1.53736596,1733.0,5959.0,Transit,2011.0
WASP-104 b,WASP-104,404.263,12.745,1.7554137,1516.0,5475.0,Transit,2014.0
HAT-P-35 b,HAT-P-35,335.62848,14.930388,3.646706,,6096.0,Transit,2011.0
Kepler-1208 b,Kepler-1208,,2.32,11.08507637,,5001.0,Transit,2016.0
HD 114082 b,HD 114082,2542.627256,11.2089807,109.75,,6651.0,Radial Velocity,2022.0
TOI-451 b,TOI-451,,1.91,1.858703,1491.0,5550.0,Transit,2020.0
HD 20794 e,HD 20794,,,147.02,,,Radial Velocity,2017.0
TOI-2134 b,TOI-2134,9.13,2.69,9.2292005,666.0,4580.0,Transit,2023.0
TOI-5938 b,TOI-5938,,3.82,2.260424,1077.0,4650.0,Transit,2026.0
TOI-7009 b,TOI-7009,,3.71,2.3206612,872.0,4080.0,Transit,2026.0
KMT-2024-BLG-0349L b,KMT-2024-BLG-0349L,3769.44490702,,,,,Microlensing,2026.0
HD 164604 c,HD 164604,3019.3698665,,5387.0,,4663.0,Radial Velocity,2026.0
TOI-411 b,HD 22946,13.71,1.362,4.040295,1241.0,6169.0,Transit,2022.0
HD 95338 b,HD 95338,,4.27174254,55.082694,,5097.0,Radial Velocity,2020.0
V1298 Tau b,V1298 Tau,13.1,9.41,24.140006,666.0,4970.0,Transit,2019.0
HD 28185 b,HD 28185,,,385.92,,5602.0,Radial Velocity,2001.0
51 Eri b,51 Eri,3464.3296363,,9100.0,,,Imaging,2015.0
WASP-72 b,WASP-72,731.009,14.45961,2.21673,,6250.0,Transit,2012.0
K2-290 b,K2-290,10.9,3.06,9.21165,1230.0,6302.0,Transit,2019.0
HD 20794 f,HD 20794,,,647.6,,5368.0,Radial Velocity,2025.0
TOI-375 d,TOI-375,,,297.9,434.0,5259.9,Radial Velocity,2026.0
LHS 1903 b,LHS 1903,3.28,1.382,2.1555098,796.0,3664.0,Transit,2026.0
HD 208487 b,HD 208487,,,129.36,,6134.0,Radial Velocity,2004.0
GJ 887 b,GJ 887,,,9.2619,426.0,3688.0,Radial Velocity,2020.0
HD 206893 b,HD 206893,8899.195396,14.01122587,9350.0,1429.2,,Imaging,2021.0
HD 206893 c,HD 206893,4036.4207689,16.36511182,2090.0,1181.9,,Imaging,2022.0
K2-199 b,K2-199,6.9,1.73,3.2253993,913.0,4491.0,Transit,2018.0
WASP-131 b,WASP-131,86.76715511,13.74221034,5.3220125,,5990.0,Transit,2016.0
WASP-77 A b,WASP-77 A,529.31142902,,1.360029395,,5617.0,Transit,2012.0
Proxima Cen d,Proxima Cen,,,5.12338,282.0,2900.0,Radial Velocity,2025.0
TOI-1238 b,TOI-1238,3.76,1.21,0.764597,1133.0,4089.0,Transit,2022.0
TOI-1238 c,TOI-1238,8.32,2.11,3.294736,695.0,4089.0,Transit,2022.0
TOI-5799 c,TOI-5799,,1.76,14.010449,337.0,3452.0,Transit,2025.0
WASP-121 b,WASP-121,371.85923619,19.52604438,1.27492504,2409.0,6628.0,Transit,2016.0
TOI-7510 d,TOI-7510,190.0,10.52,48.864468,542.4,5720.0,Transit,2025.0
HAT-P-16 b,HAT-P-16,,14.68376472,,1566.0,,Transit,2010.0
WASP-107 c,WASP-107,,,1088.0,,4425.0,Radial Velocity,2020.0
WASP-21 b,WASP-21,95.345,11.99,4.322482,,,Transit,2010.0
HAT-P-18 b,HAT-P-18,62.61,11.153,5.508023,852.0,4803.0,Transit,2010.0
HAT-P-23 b,HAT-P-23,664.237,15.334,1.212884,2056.0,5905.0,Transit,2010.0
WASP-10 b,WASP-10,1001.12,12.106,3.0927616,1370.0,4675.0,Transit,2008.0
HAT-P-8 b,HAT-P-8,406.8224,15.6926,3.07634,,6200.0,Transit,2008.0
KELT-3 b,KELT-3,616.5902,17.48604,2.70339,,6304.0,Transit,2013.0
LHS 1903 d,LHS 1903,5.96,2.5,12.566287,442.0,3664.0,Transit,2026.0
